time	xdim	ydim	ncell
0.0	4.173	7.382	1
4.0	36.745	58.374	1
8.0	55.947	43.247	1
12.0	111.848	69.115	1
16.0	77.756	98.806	2
20.0	73.449	140.576	2
24.0	29.189	74.528	2
28.0	177.781	82.192	3
32.0	165.898	189.397	4
36.0	133.703	188.162	4
40.0	126.125	250.568	4
44.0	192.841	456.541	6
48.0	257.411	373.203	8
52.0	332.901	339.122	8
56.0	386.164	385.948	8
60.0	513.668	577.652	12
64.0	557.243	561.674	16
68.0	575.802	599.256	16
72.0	742.522	605.641	20
76.0	810.817	781.237	26
80.0	812.164	788.259	32
84.0	869.839	915.565	32
88.0	912.496	950.379	45
92.0	917.984	1026.254	55
96.0	1027.737	1002.962	63
100.0	1049.624	1037.985	72
104.0	1085.689	1154.914	91
108.0	1097.532	1172.244	114
112.0	1120.299	1284.492	127
116.0	1255.909	1295.259	151
120.0	1304.760	1300.688	193
124.0	1349.908	1382.210	231
128.0	1528.288	1448.226	272
132.0	1566.597	1474.478	338
136.0	1565.350	1601.116	405
140.0	1675.381	1533.464	480
144.0	1763.899	1684.858	576
148.0	1780.346	1751.386	708
152.0	1792.471	1816.965	840
156.0	1762.701	1833.033	997
160.0	1858.122	1912.115	1215
164.0	1957.908	1937.042	1466
168.0	2028.317	2028.556	1778
172.0	2054.690	1970.586	2113
176.0	2199.329	1990.472	2576
180.0	2193.693	2034.886	3094
184.0	2206.724	2196.882	3742
188.0	2251.033	2278.036	4478
192.0	2424.165	2386.349	5406
196.0	2402.815	2418.729	6548
200.0	2435.452	2343.738	7861
204.0	2605.085	2434.251	9411
208.0	2613.117	2596.064	11238
212.0	2763.092	2653.030	13185
216.0	2842.970	2696.041	15284
220.0	2772.743	2748.615	17617
224.0	2879.236	2922.986	20002
228.0	2974.135	3014.576	22573
232.0	3107.805	3151.573	25392
236.0	3225.710	3270.877	28346
240.0	3391.578	3356.671	31358
