time	xdim	ydim	ncell
0.0	8.633	9.267	1
4.0	8.633	9.267	1
8.0	8.633	9.267	1
12.0	8.633	9.267	1
16.0	18.634	18.511	2
20.0	18.634	18.511	2
24.0	18.634	18.511	2
28.0	25.725	27.201	3
32.0	35.654	38.335	4
36.0	35.654	38.335	4
40.0	35.654	38.335	4
44.0	44.064	53.376	6
48.0	52.520	94.185	8
52.0	52.500	94.235	8
56.0	52.500	94.235	8
60.0	91.562	91.782	12
64.0	89.672	126.319	16
68.0	89.666	126.347	16
72.0	102.617	127.895	20
76.0	117.174	147.920	26
80.0	115.463	168.029	32
84.0	115.493	167.874	32
88.0	154.069	183.071	45
92.0	171.930	216.432	55
96.0	175.411	241.854	63
100.0	185.748	248.708	72
104.0	219.064	267.774	91
108.0	277.073	304.327	114
112.0	277.482	335.103	127
116.0	310.023	359.014	151
120.0	362.220	398.649	193
124.0	381.875	438.047	231
128.0	425.603	471.450	272
132.0	463.049	507.996	338
136.0	519.263	576.775	405
140.0	553.814	620.771	480
144.0	608.111	671.826	576
148.0	672.695	724.367	708
152.0	725.626	774.651	840
156.0	798.802	819.838	997
160.0	865.381	896.629	1213
164.0	924.749	973.951	1458
168.0	993.640	1044.950	1750
172.0	1071.877	1104.371	2084
176.0	1144.453	1173.590	2462
180.0	1217.716	1244.366	2853
184.0	1276.234	1326.144	3285
188.0	1379.400	1376.236	3785
192.0	1446.840	1460.722	4286
196.0	1514.756	1535.404	4829
200.0	1598.346	1621.480	5421
204.0	1685.094	1702.516	6058
208.0	1764.758	1782.840	6704
212.0	1836.995	1855.781	7351
216.0	1939.958	1933.705	8102
220.0	2009.727	2028.893	8913
224.0	2077.958	2108.181	9675
228.0	2142.699	2197.582	10499
232.0	2240.332	2296.150	11376
236.0	2327.282	2365.432	12317
240.0	2396.127	2446.608	13202
